YEAR,MONTH,DAY,LATITUDE,LONGITUDE,SIZE_HA,CAUSE
2023,7,21,52.7548,-122.6021,0.64,N
2023,8,28,49.8718,-123.9516,2.5,N
2023,7,6,54.8859,-122.982,0.2,N
2023,7,21,53.7497,-122.5618,0.009,N
2023,6,9,58.2226,-123.8847,804.46,N
2023,6,21,58.4786,-121.8788,0.0,N
2023,8,4,51.5821,-118.6064,0.05,N
2023,7,22,53.7125,-125.2913,0.009,N
2023,7,7,53.0419,-123.4067,1297.6,N
2023,8,17,51.0364,-125.1501,181.0,N
2023,7,21,53.1229,-120.0333,0.5,N
2023,8,29,50.4919,-124.3295,2.0,N
2023,7,8,54.7353,-125.1753,1503.4,N
2023,8,16,50.6693,-123.9888,302.0,N
2023,7,12,53.9583,-123.795,0.009,N
2023,9,8,49.2396,-121.4832,20.0,N
2023,8,9,50.8248,-120.5302,0.009,N
2023,7,15,54.6306,-125.1299,122.0,N
2023,7,9,59.2839,-122.1495,888.01,N
2023,9,20,53.9606,-123.4764,0.2,N
2023,7,16,54.1939,-124.1163,2.36,N
2023,5,18,52.074,-121.3004,0.04,N
2023,7,6,52.9571,-125.672,21926.5,N
2023,7,9,50.9998,-120.0222,0.009,N
2023,8,29,50.3452,-122.9032,0.009,N
2023,7,10,55.0104,-127.4476,556.13,N
2023,7,22,54.0257,-123.4471,0.46,N
2023,6,13,48.895,-123.6583,0.009,H
2023,8,4,54.3827,-123.5167,0.009,N
2023,7,15,52.829,-122.2172,0.5,N
2023,8,21,55.1878,-124.9527,1.8,N
